Year,Final,Champions,Runner up,Orange Cap,Purple Cap
2023,CSK vs GT,CSK,GT,Shubman Gill,Mohammed Shami
2022,GT vs RR,GT,RR,Jos Buttler,Yuzvendra Chahal
2021,CSK vs KKR,CSK,KKR,Rutraj Gaikwad,Harshal Patel
2020,MI vs DC,MI,DC,KL Rahul,Kagiso Rabada
2019,MI vs CSK,MI,CSK,David Warner,Imran Tahir
2018,CSK vs SRH,CSK,SRH,Kane Williamson,Andrew Tye
2017,MI vs RPS,MI,RPS,David Warner,Bhuvaneshwar Kumar
2016,RCB vs SRH,SRH,RCB,Virat Kohli,Bhuvaneshwar Kumar
2015,MI vs CSK,MI,CSK,David Warner,Dwayne Bravo
2014,KKR vs KXIP,KKR,KXIP,Robin Uthappa,Mohit Sharma
2013,MI vs CSK,MI,CSK,Miachel Hussey,Dwayne Bravo
2012,CSK vs KKR,KKR,CSK,Chris Gayle,Morne Morkel
2011,CSK vs RCB,CSK,RCB,Chris Gayle,Lasith Malinga
2010,CSK vs MI,CSK,MI,Sachin Tendulkar,Pragyan Ojha
2009,DCG vs RCB,DCG,RCB,Matthew Hayden,RP Singh
2008,RR vs CSK,RR,CSK,Shaun Marsh,Sohail Tanvir
